symbol,gics8,kmeans.text_068
SPWH,25504040,14
SQBG,25203010,14
STMP,45101010,14
STZ,30201020,14
SUMR,25202010,14
TAP,30201010,14
THST,30201020,14
TLF,25504010,14
TPX,25201020,14
TRIP,25502020,14
TSCO,25504040,14
TWMC,25504040,14
TZOO,45101010,14
VAC,25301020,14
VSTO,25202010,14
W,25502020,14
WGO,25102010,14
WSM,25504060,14
BDE,25202010,14
AKS,15104050,15
AP,15104050,15
ATI,15104050,15
BRSS,20106020,15
CIX,20201060,15
CMC,15104050,15
CRS,15104050,15
FRD,15104050,15
HNH,15104050,15
IDSA,20201050,15
IEP,20105010,15
MLI,20106020,15
NCS,20102010,15
NUE,15104050,15
NWPX,20103010,15
RS,15104050,15
SCHN,15104050,15
SHLO,25101010,15
SPLP,40201030,15
STLD,15104050,15
SYNL,15104050,15
TMST,15104050,15
USAP,15104050,15
VMI,20103010,15
WOR,15104050,15
X,15104050,15
ZEUS,15104050,15
KWR,15101050,15
AMT,60101080,16
ARCW,20106020,16
ATNI,50101020,16
AVNW,45201020,16
CAMP,45201020,16
CCI,60101080,16
CSCO,45201020,16
DISH,25401025,16
DSPG,45301020,16
EVOL,45103010,16
GNCMA,50101020,16
IDCC,45201020,16
IDSY,45203010,16
IFON,45201020,16
LMRK,60102020,16
NTGR,45201020,16
QCOM,45301020,16
RSYS,45203020,16
SHEN,50102010,16
SMSI,45103010,16
SPEX,20202020,16
SSNI,45103010,16
STRP,50101010,16
T,50101020,16
TDS,50102010,16
TESS,45201020,16
TMUS,50102010,16
TNAV,45103010,16
UBNT,45201020,16
USM,50102010,16
WIFI,50102010,16
WPCS,45102010,16
WSTL,45201020,16
XGTI,45201020,16
ABDC,40203010,17
ACSF,40203010,17
AINV,40203010,17
APO,40203010,17
ARCC,40203010,17
BKCC,40203010,17
CG,40203010,17
CMFN,40203010,17
CODI,40201030,17
CPTA,40203010,17
CSWC,40203010,17
FDUS,40203010,17
FSC,40203010,17
FSFR,40203010,17
FSIC,40203010,17
GAIN,40203010,17
GBDC,40203010,17
GLAD,40203010,17
GSBD,40203010,17
GSVC,40203010,17
HCAP,40203010,17
HRZN,40203010,17
HTGC,40203010,17
KCAP,40203010,17
MAIN,40203010,17
MCC,40203010,17
MRCC,40203010,17
MVC,40203010,17
NEWS,40201040,17
NMFC,40203010,17
OFS,40203010,17
OHAI,40203010,17
PFLT,40203010,17
PNNT,40203010,17
PSEC,40203010,17
RAND,40203010,17
SAR,40203010,17
SCM,40203010,17
SLRC,40203010,17
SUNS,40203010,17
SVVC,40203010,17
TCAP,40203010,17
TCPC,40203010,17
TCRD,40203010,17
TICC,40203010,17
TPVG,40203010,17
TSLX,40203010,17
WHF,40203010,17
AXTI,45301010,18
CMTL,45201020,18
CREE,45301020,18
DGII,45201020,18
ESE,20106020,18
INVE,45203010,18
LGL,45203015,18
MITK,45103010,18
MRCY,20101010,18
MTSI,45301020,18
MXL,45301020,18
OCLR,45201020,18
ORBC,50101010,18
PCTI,45201020,18
PKE,45203020,18
PRKR,45201020,18
QRVO,45301020,18
RESN,45201020,18
RWC,45201020,18
SWKS,45301020,18
UEIC,25201010,18
VC,25101010,18
WTT,45203010,18
ZAGG,25201010,18
ZBRA,45203010,18
BYD,25301010,19
CACQ,25301010,19
CHDN,25301010,19
CNTY,25301010,19
CPHC,25301010,19
CZR,25301010,19
DDE,25301010,19
ERI,25301010,19
FLL,25301010,19
GLPI,60101080,19
GPIC,25301010,19
LVS,25301010,19
MCRI,25301010,19
MGM,25301010,19
NYNY,25301010,19
PENN,25301010,19
PNK,25301010,19
SGMS,25301010,19
UWN,25301010,19
WYNN,25301010,19
ADGE,55105010,20
AMRC,20103010,20
ASTE,20106010,20
BWEN,20104020,20
CPST,20104020,20
ENPH,20104010,20
FSLR,45301020,20
GENC,20106020,20
GHM,20106020,20
HASI,40204010,20
HTM,55105020,20
MNST,30201030,20
NEP,55105020,20
NRG,55105010,20
ORA,55105020,20
RGSE,20104010,20
TGEN,20102010,20
THR,20104010,20
TSLA,25102010,20
VSLR,55105020,20
NYLD,55105010,20
ARAY,35101010,21
ARRY,35201010,21
AVEO,35201010,21
CLSN,35201010,21
CLVS,35201010,21
EXEL,35201010,21
FHCO,30302010,21
GTXI,35201010,21
ICAD,35103010,21
ISR,35201010,21
LOXO,35201010,21
OPHT,35201010,21
PBYI,35201010,21
PGNX,35201010,21
RXDX,35201010,21
SIEN,35101020,21
VSAR,35201010,21
VBIV,35201010,21
ADXS,35201010,22
AMGN,35201010,22
AST,35201010,22
ATHX,35201010,22
ATRA,35201010,22
BCLI,35201010,22
BIOC,35201010,22
BLCM,35201010,22
BLFS,35101020,22
BLUE,35201010,22
BMY,35202010,22
BTX,35201010,22
CALA,35201010,22
CBLI,35201010,22
CBMG,35201010,22
CERS,35101020,22
CLRB,35201010,22
CTIC,35201010,22
CTSO,35101010,22
CUR,35201010,22
CYTX,35201010,22
ECYT,35202010,22
EGRX,35201010,22
FATE,35201010,22
FBIO,35201010,22
GNCA,35201010,22
HSGX,35201010,22
HTBX,35201010,22
IMMU,35201010,22
IMUC,35201010,22
INO,35201010,22
JUNO,35201010,22
KITE,35201010,22
KOOL,35101010,22
LBIO,35201010,22
NLNK,35201010,22
OGXI,35201010,22
OPXA,35201010,22
OVAS,35201010,22
PLUG,20104010,22
PPHM,35201010,22
SPPI,35201010,22
SRNE,35201010,22
TGTX,35201010,22
THLD,35201010,22
VCEL,35201010,22
VSTM,35201010,22
VTL,35201010,22
ZIOP,35201010,22
IMDZ,35201010,22
AMID,10102040,23
APC,10102020,23
CEQP,10102040,23
CVX,10102010,23
EEP,10102040,23
EEQ,10102040,23
ENBL,10102040,23
ENLC,10102040,23
ENLK,10102030,23
EPD,10102040,23
