symbol,gics8,hier.text_008
CCNE,40101015,1
CCO,25401010,2
CCOI,50101010,4
CCRN,35102015,4
CCS,25201030,0
CCUR,45202030,1
CDE,15104045,2
CDI,20202010,4
CDK,45103010,2
CDNS,45103010,1
CDR,60101070,0
CDTI,25101010,3
CDTX,35201010,0
CDW,45203030,6
CDXS,15101050,1
CDZI,55104010,0
CE,15101050,2
CECE,20201050,2
CECO,25302010,6
CELG,35201010,7
CELP,20201050,4
CEMI,35101020,7
CEMP,35202010,0
CENTA,30301010,3
CENX,15104010,0
CEQP,10102040,6
CERN,35103010,4
CERS,35101020,7
CERU,35201010,0
CEVA,45301020,7
CF,15101030,2
CFBK,40102010,0
CFFI,40101015,6
CFFN,40102010,1
CFG,40101015,6
CFI,25203030,2
CFNB,40101015,0
CFR,40101015,4
CFRX,35201010,7
CFX,20106020,6
CG,40203010,4
CGI,20304020,4
CGNT,35101010,7
CGNX,45203010,3
CHCI,25201030,4
CHCO,40101015,1
CHD,30301010,3
CHDN,25301010,2
CHE,35102015,4
CHEF,30101020,3
CHFC,40101015,1
CHFN,40102010,1
CHGG,25302010,1
CHH,25301020,0
CHK,10102020,6
CHKE,25203010,0
CHKR,10102020,0
CHMG,40101015,4
CHMI,40204010,0
CHRS,35201010,0
CHRW,20301010,4
CHS,25504010,7
CHSP,60101030,0
CHTR,25401025,4
CHUY,25301040,0
CI,35102030,6
CIA,40301020,6
CIDM,25401030,4
CIE,10102020,0
CIEN,45201020,4
CIM,40204010,0
CINF,40301040,2
CIR,20106020,6
CIT,40101015,4
CIVB,40101015,0
CIVI,35102015,4
CIX,20201060,3
CKH,10101020,6
CL,30301010,3
CLCT,25302020,0
CLD,10102050,6
CLDT,60101030,0
CLDX,35201010,0
CLF,15104050,0
CLFD,45201020,5
CLGX,45102020,6
CLH,20201050,4
CLI,60101040,4
CLIR,45203010,0
CLMT,10102030,3
CLNE,10102030,0
CLR,10102020,0
CLRB,35201010,0
CLRO,45201020,3
CLSN,35201010,7
CLUB,25301030,0
CLVS,35201010,0
CLW,15105020,3
CLX,30301010,3
CMA,40101010,4
CMC,15104050,2
CMCO,20106020,3
CMCSA,25401025,6
CMCT,40204010,6
CME,40203040,1
CMFN,40203010,0
CMG,25301040,0
CMI,20106010,2
CMLS,25401020,0
CMO,40204010,0
CMP,15104020,2
CMRX,35201010,0
CMS,55103010,2
CMT,15101010,3
CMTL,45201020,6
CNA,40301040,6
CNAT,35201010,0
CNBKA,40101015,1
CNC,35102030,4
CNCE,35201010,0
CNK,25401030,2
CNMD,35101010,7
CNNX,10102040,2
CNO,40301020,3
CNOB,40101015,1
CNP,55103010,6
CNS,40203010,0
CNSL,50101020,4
CNTY,25301010,2
CNX,10102050,4
CNXR,35103010,2
COBZ,40101015,4
CODI,40201030,5
COF,40202010,6
COG,10102020,0
COH,25203010,3
COHR,45203010,3
COHU,45301010,3
