symbol,mc
CFG,17.51B  
CFI,386.07M  
CFNB,175.27M  
CFNL,960.76M  
CFR,5.83B  
CFRX,52.07M  
CFX,4.95B  
CG,5.76B  
CGI,63.76M  
CGNT,99.72M  
CGNX,7.88B  
CHCI,6.31M  
CHCO,1.01B  
CHD,12.4B  
CHDN,2.71B  
CHE,3.18B  
CHEF,392.64M  
CHFC,3.27B  
CHFN,153.55M  
CHGG,1.09B  
CHH,3.63B  
CHK,5.15B  
CHKE,130.81M  
CHKR,123.89M  
CHMG,180.4M  
CHMI,230.35M  
CHMT,2.12B  
CHRS,1.14B  
CHRW,9.49B  
CHS,1.45B  
CHSP,1.37B  
CHTR,96.39B  
CHUY,482.36M  
CI,40.83B  
CIA,304M  
CIDM,19.89M  
CIE,125.93M  
CIEN,3.24B  
CIM,3.38B  
CINF,11.37B  
CIR,1.04B  
CIT,9.54B  
CIVB,213.34M  
CIVI,602.61M  
CIX,168.9M  
CIZN,117.96M  
CKH,1.14B  
CL,66.09B  
CLAC,103.42M  
CLCT,227.49M  
CLD,261.95M  
CLDT,727.35M  
CLDX,385.32M  
CLF,1.92B  
CLFD,191.68M  
CLGX,3.56B  
CLH,3.28B  
CLI,2.71B  
CLMT,344.33M  
CLNE,373.23M  
CLR,15.82B  
CLRB,23.15M  
CLRO,86.17M  
CLRX,N/A  
CLSN,14.14M  
CLUB,106.78M  
CLVS,2.34B  
CLW,747.62M  
CLX,17.02B  
CMA,12.1B  
CMC,2.12B  
CMCO,548.55M  
CMCSA,184.63B  
CMCT,1.33B  
CME,39.7B  
CMFN,140.31M  
CMG,13.9B  
CMI,25.91B  
CMLS,14.5M  
CMO,991.37M  
CMP,2.29B  
CMRX,218.33M  
CMS,12.88B  
CMT,153.73M  
CMTL,329.27M  
CNA,11.95B  
CNAT,152.44M  
CNBKA,296.03M  
CNC,12.93B  
CNCE,326.49M  
CNK,4.7B  
CNMD,1.39B  
CNNX,1.37B  
CNO,3.47B  
CNOB,689.72M  
CNP,11.84B  
CNS,1.81B  
CNSL,994.37M  
CNTY,191.29M  
CNX,3.7B  
CNXR,19M  
COBZ,653.65M  
CODI,973.37M  
COF,38.75B  
COG,10.93B  
COH,12.74B  
COHR,6.05B  
COHU,493.32M  
COKE,1.91B  
COL,19.87B  
COLB,2.2B  
COLL,255.11M  
COLM,3.67B  
COMM,7.14B  
CONE,4.75B  
CONN,489.49M  
COO,10.4B  
COOL,54.93M  
COP,58.74B  
COR,4.75B  
CORE,1.56B  
CORI,200.24M  
CORR,430.32M  
CORT,1.33B  
COST,75.34B  
COT,1.79B  
COTY,14.02B  
COUP,1.62B  
COVS,83.78M  
COWN,404.48M  
CPB,16.98B  
CPE,2.54B  
CPF,925.5M  
CPHC,46.99M  
CPK,1.17B  
CPLA,1.02B  
CPN,4.96B  
CPRT,6.73B  
CPRX,177.63M  
CPS,1.91B  
CPSI,452.1M  
CPSS,106.22M  
CPST,23.22M  
CPT,7.39B  
CPTA,216.25M  
CQH,6.13B  
CQP,11.2B  
CR,4.59B  
CRAI,287M  
CRAY,699.5M  
CRBP,323.91M  
CRC,539.65M  
CRCM,454.29M  
CRDS,4.11M  
CREE,2.22B  
CRI,4B  
CRIS,238.66M  
CRK,125.13M  
CRL,4.27B  
CRM,62.17B  
CRMD,28.91M  
CRMT,272.9M  
CROX,479.33M  
CRR,243.99M  
CRS,1.67B  
CRT,91.38M  
CRTN,4.41M  
CRUS,4.16B  
CRVL,859.8M  
CRWS,76.25M  
CRY,607.01M  
CRZO,1.6B  
CSBK,378.63M  
CSC,9.75B  
CSCO,156.3B  
CSFL,1.35B  
CSGP,8.31B  
CSGS,1.33B  
CSII,1.03B  
CSL,6.49B  
CSLT,469.85M  
CSOD,2.09B  
CSPI,43.12M  
CSS,230.44M  
CST,3.67B  
CSU,411.57M  
CSV,435.26M  
CSWC,248.98M  
CSX,46.48B  
CTAS,12.75B  
CTB,1.91B  
CTBI,740.37M  
CTG,88.43M  
CTHR,19.46M  
CTIB,20.48M  
CTIC,119.07M  
CTL,13.65B  
CTLT,4.23B  
CTO,307.73M  
CTRE,1.34B  
CTRL,430.84M  
CTRN,262.83M  
CTRV,53M  
CTS,676.73M  
CTSH,38.53B  
CTSO,113.84M  
CTT,445.54M  
CTWS,606.78M  
CTXS,12.51B  
CUB,1.22B  
CUBE,4.55B  
CUBI,880.79M  
CUDA,1.19B  
CUI,79.24M  
CUNB,644.68M  
CUO,36.76M  
CUR,52.12M  
CUTR,279.95M  
CUZ,3.6B  
CVA,1.86B  
CVBF,2.26B  
CVCO,1B  
CVCY,253.77M  
CVEO,306.26M  
CVG,2.26B  
CVGI,262.5M  
CVGW,1.15B  
CVI,1.85B  
CVLT,2.5B  
CVLY,214.16M  
CVM,25.28M  
CVO,45.84M  
CVR,37.93M  
CVRR,1.51B  
CVS,77.68B  
CVTI,309.31M  
CVU,60.83M  
CVV,77.85M  
CVX,201.81B  
CW,3.76B  
CWAY,89.17M  
CWEI,2.33B  
CWST,575.43M  
CWT,1.64B  
CXO,19.52B  
CXP,2.68B  
CXW,3.7B  
CY,4.33B  
CYAN,22.11M  
CYBE,149.97M  
CYCC,14.2M  
CYH,1.1B  
CYNO,1.61B  
CYTK,641.17M  
CYTR,78.99M  
CYTX,31.5M  
CZNC,270.92M  
CZR,1.62B  
D,49.43B  
DAIO,58.51M  
DAKT,397.93M  
DAL,35.34B  
DAN,2.82B  
DAR,2.63B  
DATA,4.71B  
DAVE,27.13M  
DBD,1.98B  
DCI,6.18B  
DCO,350.25M  
DCOM,743.26M  
DCT,5.03B  
DCTH,5.34M  
DD,67.47B  
DDD,2.47B  
DDE,37.79M  
DDR,3.42B  
DDS,1.55B  
DE,38.48B  
DEA,912.73M  
DECK,1.88B  
DEI,6.85B  
DEL,849.87M  
DENN,801.34M  
DEPO,632.76M  
DERM,1.16B  
