symbol,gics8,text_068
RGC,25401030,8
RGR,25202010,8
RHP,60101030,8
RLOG,20303010,8
RMAX,60102040,8
RNG,45103010,8
ROL,20201050,8
ROX,30201020,8
RTEC,45301010,8
RWC,45201020,8
SAM,30201010,8
SANW,30202010,8
SCHL,25401040,8
SCON,45203015,8
SCX,20106020,8
SEAS,25301030,8
SIX,25301030,8
SKY,25201030,8
SLM,40202010,8
SMG,15101030,8
SNMX,15101050,8
SNOW,25301030,8
SSYS,45202030,8
STZ,30201020,8
SUMR,25202010,8
SYNA,45301020,8
TAP,30201010,8
TAX,25302020,8
TG,15101010,8
THST,30201020,8
TILE,20201060,8
TNC,20106020,8
TPX,25201020,8
TREX,20102010,8
TRK,25301030,8
TRUP,40301020,8
TTMI,45203020,8
TTS,25504030,8
TTWO,45103030,8
TZOO,45101010,8
UEIC,25201010,8
UFI,25203030,8
UNP,20304010,8
UNXL,45203020,8
USLM,15102010,8
UTI,25302010,8
UUU,45203010,8
UVV,30203010,8
VAC,25301020,8
VCRA,35103010,8
WAB,20106010,8
WATT,20104010,8
WLKP,15101010,8
WTW,25302020,8
WVVI,30201020,8
XON,35201010,8
XONE,20106020,8
XPLR,45202030,8
XRM,20106020,8
XXII,30203010,8
ZAGG,25201010,8
ZBRA,45203010,8
ZEN,45103010,8
LIVE,25201020,8
NYLD,55105010,8
ACTA,45101010,9
AKAM,45101010,9
ANET,45201020,9
ARW,45203030,9
ASUR,45103010,9
ATEN,45103020,9
AWRE,45103010,9
BAH,45102010,9
BDC,45203015,9
BLKB,45103010,9
BSQR,45103010,9
BVSN,45101010,9
CA,45103020,9
CACI,45102010,9
CARB,45101010,9
CDW,45203030,9
CLGX,45102020,9
COUP,45101010,9
COVS,45103020,9
CRM,45103010,9
CSOD,45101010,9
CTXS,45103010,9
CUDA,45103020,9
CVLT,45103020,9
DATA,45103020,9
DBD,45202030,9
DGI,20101010,9
DNB,20202020,9
DWCH,45103010,9
EGAN,45101010,9
EGHT,45103010,9
EGL,20101010,9
EPAM,45102010,9
FALC,45103020,9
FEYE,45103020,9
FFIV,45201020,9
FIVN,45101010,9
FNJN,45103020,9
FTNT,45103020,9
GIMO,45103020,9
GSB,45103020,9
GUID,45103010,9
GWRE,45103010,9
HDP,45101010,9
HSTM,35103010,9
IBM,45102010,9
IDN,45203010,9
IMPV,45103020,9
INOV,35103010,9
INVE,45203010,9
ITI,45203010,9
JKHY,45102020,9
KEYW,20101010,9
LDOS,45102010,9
LOGM,45101010,9
LTRX,45201020,9
MANT,45102010,9
MDSO,35103010,9
MITK,45103010,9
MOBL,45103010,9
MOC,20201080,9
MODN,45103010,9
MSFT,45103020,9
MSTR,45103010,9
NATI,45203010,9
NCIT,45102010,9
NEWR,45101010,9
NMRX,45101010,9
NOW,45103020,9
NSIT,45203030,9
NSR,45102020,9
NTAP,45202030,9
NTCT,45201020,9
NUAN,45103010,9
ORCL,45103020,9
PANW,45201020,9
PAR,45203010,9
PAYC,45103010,9
PBI,20201060,9
PCTY,45103010,9
PDFS,45301010,9
PEGA,45103010,9
PFPT,45103020,9
PRGS,45103020,9
PRO,45103010,9
PTC,45103010,9
QADA,45103010,9
QLYS,45103020,9
QTM,45202030,9
QTS,60101080,9
QTWO,45101010,9
RHT,45103020,9
ROK,20104010,9
RP,45103010,9
RST,45103030,9
SAIC,45102010,9
SMCI,45202030,9
SMSI,45103010,9
SNCR,45103010,9
SPLK,45103010,9
SPRT,45101010,9
SREV,45102010,9
STRM,35103010,9
SYMC,45103020,9
TDC,45102010,9
TECD,45203030,9
TRMB,45203020,9
TWOU,45101010,9
TYL,45103010,9
UIS,45102010,9
ULTI,45103010,9
UPLD,45103010,9
VDSI,45103020,9
VEEV,35103010,9
VMW,45103020,9
VRNS,45103020,9
VRNT,45103010,9
VRSN,45101010,9
WDAY,45103010,9
WK,45103010,9
WSTG,45203030,9
WYY,45102010,9
ZIXI,45103010,9
ACHC,35102020,10
ADK,35102020,10
ADUS,35102015,10
AHPI,35101010,10
AIQ,35102015,10
AMED,35102015,10
AMS,35102015,10
ATHN,35103010,10
BABY,35101010,10
BFAM,25302010,10
BIOS,35102015,10
BKD,35102020,10
CAH,35102010,10
CCRN,35102015,10
CHE,35102015,10
CIVI,35102015,10
CPSI,35103010,10
CRCM,45101010,10
CSU,35102020,10
CYH,35102020,10
DPLO,35102015,10
DRAD,35102015,10
DVA,35102015,10
DVCR,35102020,10
ENSG,35102020,10
EVHC,35102015,10
FONR,35101010,10
FVE,35102020,10
GEN,35102020,10
GEO,60101080,10
HCA,35102020,10
HCN,60101050,10
HCSG,20201070,10
HLS,35102020,10
HLTH,35102015,10
IVC,35101010,10
KND,35102020,10
LDR,35102015,10
LHCG,35102015,10
LPNT,35102020,10
MD,35102015,10
NHC,35102020,10
NRCIA,35102015,10
NXTM,35101010,10
PMC,35102010,10
PRSC,35102015,10
RCMT,20202020,10
SEE,15103020,10
SEM,35102020,10
SSY,35102020,10
THC,35102020,10
UHS,35102020,10
UHT,60101050,10
USPH,35102020,10
AFAM,35102015,10
INFU,35102015,10
AEY,45203030,11
AMCX,25401020,11
ATVI,45103030,11
BBGI,25401020,11
CBS,25401020,11
CMCSA,25401025,11
DIS,25401030,11
DISCA,25401020,11
DISH,25401025,11
EMMS,25401020,11
ENT,25401030,11
ETM,25401020,11
EVC,25401020,11
EVLV,25502020,11
FOXA,25401030,11
GTN,25401020,11
HAS,25202010,11
HMTV,25401020,11
HSNI,25502020,11
ISCA,25301030,11
LYV,25401030,11
MDP,25401040,11
MSG,25401030,11
NFLX,25502020,11
NTN,25401030,11
NWSA,25401040,11
NXST,25401020,11
RLJE,25401030,11
SBGI,25401020,11
SGA,25401020,11
SIGM,45301020,11
SIRI,25401025,11
SNI,25401020,11
SSP,25401020,11
TRCO,25401020,11
TSQ,25401020,11
TWX,25401030,11
VIAB,25401030,11
WWE,25401030,11
GHC,25302010,11
ADRO,35201010,12
AGEN,35201010,12
ALDR,35201010,12
AMGN,35201010,12
ARQL,35201010,12
AVEO,35201010,12
BMY,35202010,12
CLDX,35201010,12
FGEN,35201010,12
FPRX,35201010,12
IBIO,35201010,12
IMGN,35201010,12
IMMU,35201010,12
MGNX,35201010,12
MNTA,35201010,12
OMED,35201010,12
OPHT,35201010,12
PPHM,35201010,12
PTN,35201010,12
RGEN,35201010,12
RXDX,35201010,12
SRNE,35201010,12
TGTX,35201010,12
TRVN,35201010,12
VSAR,35201010,12
XBIT,35201010,12
XOMA,35201010,12
ADI,45301020,13
AEHR,45301010,13
AMAT,45301010,13
AMKR,45301010,13
AOSL,45301020,13
BELFB,45201020,13
CEVA,45301020,13
COHU,45301010,13
CREE,45301020,13
CRUS,45301020,13
CY,45301020,13
DIOD,45301020,13
FORM,45301010,13
GSIT,45301020,13
IDTI,45301020,13
INTC,45301020,13
INTT,45301010,13
IPHI,45301020,13
IXYS,45301020,13
KEYS,45203010,13
LRCX,45301010,13
LSCC,45301020,13
MCHP,45301020,13
MOSY,45301020,13
MPWR,45301020,13
MRCY,20101010,13
MSCC,45301020,13
MTSI,45301020,13
MXIM,45301020,13
MXL,45301020,13
MXWL,45203020,13
ON,45301020,13
PLAB,45301010,13
POWI,45301020,13
PRKR,45201020,13
QBAK,45202030,13
QRVO,45301020,13
QUIK,45301020,13
SLAB,45301020,13
SMTC,45301020,13
SNPS,45103010,13
SWKS,45301020,13
TER,45301010,13
TXN,45301020,13
VSH,45203015,13
WTT,45203010,13
XCRA,45301010,13
XLNX,45301020,13
ABDC,40203010,14
ACSF,40203010,14
AINV,40203010,14
APO,40203010,14
ARCC,40203010,14
BKCC,40203010,14
CG,40203010,14
CMFN,40203010,14
CODI,40201030,14
CPTA,40203010,14
CSWC,40203010,14
FDUS,40203010,14
FSC,40203010,14
FSFR,40203010,14
FSIC,40203010,14
GAIN,40203010,14
GBDC,40203010,14
GLAD,40203010,14
GSBD,40203010,14
GSVC,40203010,14
HCAP,40203010,14
HRZN,40203010,14
HTGC,40203010,14
KCAP,40203010,14
MAIN,40203010,14
MCC,40203010,14
MRCC,40203010,14
MVC,40203010,14
NEWS,40201040,14
NMFC,40203010,14
OFS,40203010,14
OHAI,40203010,14
PFLT,40203010,14
PNNT,40203010,14
PSEC,40203010,14
RAND,40203010,14
SAR,40203010,14
SCM,40203010,14
SLRC,40203010,14
SUNS,40203010,14
SVVC,40203010,14
TCAP,40203010,14
TCPC,40203010,14
TCRD,40203010,14
TICC,40203010,14
TPVG,40203010,14
TSLX,40203010,14
WHF,40203010,14
ARKR,25301040,15
BBRG,25301040,15
BDL,25301040,15
BH,25301040,15
BJRI,25301040,15
BLMN,25301040,15
BOJA,25301040,15
BWLD,25301040,15
CAKE,25301040,15
CBRL,25301040,15
CHUY,25301040,15
CMG,25301040,15
DAVE,25301040,15
DENN,25301040,15
DIN,25301040,15
DRI,25301040,15
EAT,25301040,15
FRGI,25301040,15
GRUB,45101010,15
GTIM,25301040,15
HABT,25301040,15
JACK,25301040,15
KONA,25301040,15
LOCO,25301040,15
LUB,25301040,15
MCD,25301040,15
NDLS,25301040,15
PZZA,25301040,15
RAVE,25301040,15
RICK,25301030,15
RRGB,25301040,15
RT,25301040,15
RUTH,25301040,15
