symbol,gics8,textgics_015
CDK,45103010,2
CDW,45203030,2
CERN,35103010,2
CHTR,25401025,2
CIEN,45201020,2
CLGX,45102020,2
CMTL,45201020,2
CNSL,50101020,2
COMM,45201020,2
COR,60101080,2
COUP,45101010,2
COVS,45103020,2
CPSI,35103010,2
CRAI,20202020,2
CRAY,45202030,2
CRM,45103010,2
CRTN,45102010,2
CRVL,35102015,2
CSCO,45201020,2
CSGS,45102020,2
CSOD,45101010,2
CSPI,45102010,2
CTG,45102010,2
CTL,50101020,2
CTRL,45203010,2
CTSH,45102010,2
CTXS,45103010,2
CUB,20101010,2
CUDA,45103020,2
CVG,45102020,2
CVLT,45103020,2
DATA,45103020,2
DBD,45202030,2
DGI,20101010,2
DGII,45201020,2
DLX,20201010,2
DNB,20202020,2
DSPG,45301020,2
DST,45102020,2
DWCH,45103010,2
ECOM,45101010,2
EDGW,45102010,2
EEFT,45102020,2
EFX,20202020,2
EGHT,45103010,2
EGL,20101010,2
EGOV,45101010,2
EIGI,45101010,2
ENG,10101020,2
ENOC,45103010,2
ENT,25401030,2
ENV,45101010,2
EPAM,45102010,2
EPAY,45103010,2
EQIX,60101080,2
EVOL,45103010,2
EVTC,45102020,2
EXTR,45201020,2
FALC,45103020,2
FCN,20202020,2
FDS,40203040,2
FEYE,45103020,2
FFIV,45201020,2
FICO,45103010,2
FIS,45102020,2
FISV,45102020,2
FIVN,45101010,2
FLR,20103010,2
FNJN,45103020,2
FRP,50101020,2
FSNN,50101010,2
FTNT,45103020,2
FTR,50101020,2
GDDY,45101010,2
GIMO,45103020,2
GNCMA,50101020,2
GPN,45102020,2
GPX,20202010,2
GSAT,50101010,2
GSB,45103020,2
GTT,45101010,2
GUID,45103010,2
HCKT,45102010,2
HCOM,50101020,2
HDP,45101010,2
HHS,25401010,2
HIL,20202020,2
HIVE,45201020,2
HLIT,45201020,2
HMNY,45102010,2
HPQ,45202030,2
HRS,45201020,2
HSTM,35103010,2
HUBS,45103010,2
HURN,20202020,2
IBM,45102010,2
ICFI,20202020,2
IDCC,45201020,2
IDN,45203010,2
IDSY,45203010,2
IDT,50101020,2
III,45102020,2
IMMR,45202030,2
IMPV,45103020,2
INAP,45101010,2
INOD,45102020,2
INOV,35103010,2
INTC,45301020,2
INTX,20201070,2
INVE,45203010,2
INWK,20201010,2
IO,10101020,2
IPAS,45101010,2
IRDM,50101010,2
IRM,60101080,2
ISDR,45101010,2
IT,45102010,2
ITI,45203010,2
JBL,45203020,2
JCOM,45101010,2
JCS,45201020,2
JEC,20103010,2
JIVE,45103010,2
JKHY,45102020,2
JNPR,45201020,2
KBR,20103010,2
KELYA,20202010,2
KEYW,20101010,2
KFRC,20202010,2
KTOS,20101010,2
LBRDK,25401025,2
LDOS,45102010,2
LLNW,45101010,2
LMOS,50101010,2
LORL,25401025,2
LPSN,45101010,2
LTRX,45201020,2
LVLT,50101010,2
MA,45102020,2
MAN,20202010,2
MANH,45103010,2
MANT,45102010,2
MCK,35102010,2
MDCA,25401010,2
MDRX,35103010,2
MDSO,35103010,2
MHH,20202010,2
MITK,45103010,2
MLNK,45102020,2
MMC,40301010,2
MMS,45102020,2
MOBL,45103010,2
MODN,45103010,2
MRIN,45101010,2
MRVC,45201020,2
MSFT,45103020,2
MSI,45201020,2
MSTR,45103010,2
MTBC,35103010,2
MXPT,45101010,2
NCI,20202020,2
NCIT,45102010,2
NCR,45202030,2
NDAQ,40203040,2
NETE,45101010,2
NEWR,45101010,2
NMRX,45101010,2
NNI,40202010,2
NOW,45103020,2
NSIT,45203030,2
NSP,20202010,2
NSR,45102020,2
NTAP,45202030,2
NTCT,45201020,2
NTGR,45201020,2
NTWK,45103010,2
NUAN,45103010,2
NXTD,45103020,2
OMC,25401010,2
OMI,35102010,2
ORBC,50101010,2
ORCL,45103020,2
OTEL,50101020,2
PANW,45201020,2
PAR,45203010,2
PAY,45203010,2
PAYC,45103010,2
PAYX,45102020,2
PBI,20201060,2
PCMI,45203030,2
PCTI,45201020,2
PCTY,45103010,2
PCYG,45103010,2
PDFS,45301010,2
PDVW,50101010,2
PEGA,45103010,2
PFPT,45103020,2
PFSW,45102010,2
PLUS,45203030,2
PLXS,45203020,2
PN,40301010,2
PRFT,45102010,2
PRGS,45103020,2
PRO,45103010,2
PRXL,35203010,2
PTC,45103010,2
Q,35203010,2
QADA,45103010,2
QLYS,45103020,2
QSII,35103010,2
QTM,45202030,2
QTS,60101080,2
QTWO,45101010,2
QUIK,45301020,2
QUMU,45101010,2
R,20304020,2
RCMT,20202020,2
RECN,20202020,2
RHT,45103020,2
RMGN,45203010,2
RNET,10101020,2
RNWK,45101010,2
ROK,20104010,2
RP,45103010,2
RPXC,20202020,2
RST,45103030,2
RSYS,45203020,2
RTN,20101010,2
SABR,45102020,2
