symbol,gics8,hier.text_068
CCRN,35102015,5
CCS,25201030,41
CCUR,45202030,63
CDE,15104045,59
CDI,20202010,5
CDK,45103010,46
CDNS,45103010,3
CDR,60101070,60
CDTI,25101010,11
CDTX,35201010,4
CDW,45203030,8
CDXS,15101050,1
CDZI,55104010,49
CE,15101050,16
CECE,20201050,11
CECO,25302010,50
CELG,35201010,4
CELP,20201050,11
CEMI,35101020,20
CEMP,35202010,4
CENTA,30301010,43
CENX,15104010,11
CEQP,10102040,25
CERN,35103010,0
CERS,35101020,2
CERU,35201010,9
CEVA,45301020,3
CF,15101030,1
CFBK,40102010,44
CFFI,40101015,39
CFFN,40102010,28
CFG,40101015,39
CFI,25203030,6
CFNB,40101015,28
CFR,40101015,21
CFRX,35201010,4
CFX,20106020,11
CG,40203010,35
CGI,20304020,33
CGNT,35101010,2
CGNX,45203010,2
CHCI,25201030,24
CHCO,40101015,28
CHD,30301010,2
CHDN,25301010,66
CHE,35102015,6
CHEF,30101020,34
CHFC,40101015,28
CHFN,40102010,28
CHGG,25302010,50
CHH,25301020,37
CHK,10102020,19
CHKE,25203010,6
CHKR,10102020,53
CHMG,40101015,39
CHMI,40204010,10
CHRS,35201010,4
CHRW,20301010,33
CHS,25504010,30
CHSP,60101030,37
CHTR,25401025,31
CHUY,25301040,51
CI,35102030,45
CIA,40301020,45
CIDM,25401030,46
CIE,10102020,19
CIEN,45201020,56
CIM,40204010,10
CINF,40301040,15
CIR,20106020,26
CIT,40101015,39
CIVB,40101015,44
CIVI,35102015,0
CIX,20201060,11
CKH,10101020,29
CL,30301010,2
CLCT,25302020,6
CLD,10102050,64
CLDT,60101030,37
CLDX,35201010,4
CLF,15104050,6
CLFD,45201020,12
CLGX,45102020,8
CLH,20201050,47
CLI,60101040,24
CLIR,45203010,11
CLMT,10102030,16
CLNE,10102030,27
CLR,10102020,19
CLRB,35201010,9
CLRO,45201020,3
CLSN,35201010,9
CLUB,25301030,6
CLVS,35201010,9
CLW,15105020,57
CLX,30301010,2
CMA,40101010,39
CMC,15104050,61
CMCO,20106020,11
CMCSA,25401025,52
CMCT,40204010,24
CME,40203040,48
CMFN,40203010,35
CMG,25301040,51
CMI,20106010,11
CMLS,25401020,46
CMO,40204010,10
CMP,15104020,1
CMRX,35201010,4
CMS,55103010,27
CMT,15101010,16
CMTL,45201020,31
CNA,40301040,15
CNAT,35201010,4
CNBKA,40101015,28
CNC,35102030,0
CNCE,35201010,4
CNK,25401030,6
CNMD,35101010,2
CNNX,10102040,14
CNO,40301020,45
CNOB,40101015,28
CNP,55103010,27
CNS,40203010,21
CNSL,50101020,31
CNTY,25301010,66
CNX,10102050,19
CNXR,35103010,0
COBZ,40101015,39
CODI,40201030,35
COF,40202010,39
COG,10102020,19
COH,25203010,43
COHR,45203010,12
COHU,45301010,13
COKE,30201030,6
COL,20101010,18
COLB,40101015,39
COLL,35202010,4
COLM,25203010,30
COMM,45201020,3
CONE,60101080,8
CONN,25504020,7
COO,35101020,2
COOL,45103030,2
COP,10102020,25
COR,60101080,8
CORE,25501010,43
CORI,35202010,4
CORR,60101080,22
CORT,35202010,4
COST,30101040,34
COT,30201030,6
COTY,30302010,6
COUP,45101010,8
COVS,45103020,8
COWN,40203020,21
CPB,30202030,34
CPE,10102020,19
CPF,40101015,39
CPHC,25301010,66
CPK,55102010,27
CPLA,25302010,50
CPN,55105010,54
CPRT,20201070,17
CPRX,35201010,4
CPS,25101010,11
CPSI,35103010,0
CPSS,40202010,7
CPST,20104020,11
CPT,60101060,62
CPTA,40203010,35
CQH,10102040,14
CQP,10102040,14
CR,20106020,26
CRAI,20202020,8
CRAY,45202030,8
CRBP,35201010,4
CRC,10102020,19
CRCM,45101010,2
CRDS,45202030,6
CREE,45301020,65
CRI,25203010,43
CRIS,35201010,9
CRK,10102020,19
CRL,35203010,20
CRM,45103010,56
CRMD,35201010,4
CRMT,25504050,17
CROX,25203020,30
CRR,10101020,11
CRS,15104050,11
CRT,10102020,53
CRTN,45102010,8
CRUS,45301020,40
CRVL,35102015,8
CRWS,25203030,6
CRY,35101010,2
CRZO,10102020,19
CSBK,40102010,28
CSCO,45201020,56
CSFL,40101015,28
CSGP,45101010,22
CSGS,45102020,8
CSII,35101010,2
CSL,20105010,6
CSLT,35103010,0
CSOD,45101010,5
CSPI,45102010,8
CSS,25201050,7
CST,25504050,43
CSU,35102020,58
CSV,25302020,7
CSWC,40203010,35
CSX,20304010,11
CTAS,20201070,11
CTB,25101020,11
CTBI,40101015,44
CTG,45102010,5
CTHR,25203010,6
CTIC,35201010,9
CTL,50101020,31
CTLT,35202010,20
CTO,60102010,22
CTRE,60101050,58
CTRL,45203010,3
CTRN,25504010,30
CTRV,35202010,4
CTS,45203020,3
CTSH,45102010,8
CTSO,35101010,2
CTT,60101080,22
CTWS,55104010,49
CTXS,45103010,8
CUB,20101010,18
CUBE,60101080,22
CUBI,40101015,28
CUDA,45103020,18
CUI,45203010,11
CUNB,40101015,28
CUO,20102010,11
CUR,35201010,9
CUTR,35101010,3
CUZ,60101040,24
CVA,20201050,47
CVBF,40101015,28
CVCO,25201030,41
CVCY,40101015,28
CVEO,20201070,11
CVG,45102020,8
CVGI,20106010,17
CVGW,30202030,34
CVI,10102030,1
CVLT,45103020,8
CVLY,40101015,28
CVO,20201010,3
CVRR,10102030,55
CVS,30101010,0
CVTI,20304020,33
CVU,20101010,26
CVV,45301010,13
CVX,10102010,55
CW,20101010,26
CWAY,40102010,44
CWST,20201050,47
CWT,55104010,49
CXO,10102020,19
CXP,60101040,24
CXW,60101080,11
CY,45301020,3
CYBE,45301010,3
CYCC,35201010,9
CYH,35102020,36
CYTK,35201010,4
CYTR,35201010,9
CYTX,35201010,9
CZNC,40101015,28
CZR,25301010,66
D,55103010,27
DAIO,45203020,8
DAKT,45203010,3
DAL,20302010,32
DAN,25101010,17
DAR,30202010,1
DATA,45103020,8
DAVE,25301040,6
DBD,45202030,18
DCI,20106020,11
DCO,20101010,26
DCOM,40102010,44
DCT,60101020,24
DD,15101020,16
DDD,45202030,3
DDE,25301010,6
DDR,60101070,60
DDS,25503010,30
DE,20106015,11
DEA,60101040,22
DECK,25203020,30
DEI,60101040,24
DEL,15105010,22
DENN,25301040,51
DEPO,35202010,4
DERM,35202010,4
DEST,25504010,30
DF,30202030,6
DFS,40202010,7
DFT,60101080,8
DG,25503020,43
DGAS,55102010,27
